8 1665
9 42
10 29
11 15
12 13
13 13
14 15
15 22
16 225
17 53
18 1674
19 84
20 88
21 123
22 320
23 230
24 366
25 334
26 910
27 452
28 544
29 670
30 217
31 801
32 230
33 2077
34 776
35 595
36 1069
37 995
38 720
39 939
40 1259
41 820
42 1164
43 1584
44 1178
45 1841
46 1717
47 1822
48 1917
49 1928
50 1816
51 3062
52 4788
53 5705
54 5390
55 7824
56 6996
57 10253
58 12369
59 8738
60 9910
61 8248
62 16289
63 16671
64 18953
65 26178
66 60395
67 42034
68 47821
69 44029
70 69146
71 59064
72 113326
73 105733
74 156906
75 144411
76 139560
77 237221
78 198079
79 293107
80 392691
81 256430
82 338052
83 396550
84 470470
85 629440
86 743015
87 603861
88 511868
89 894409
90 671422
91 1282898
92 1036062
93 1658946
94 1170501
95 1626758
96 1960853
97 3103311
98 1338209
99 3249479
100 3784066
101 3490896
102 5188515
103 4494737
104 7133949
105 4913929
106 7615683
107 8551681
108 11870795
109 13959693
110 16414369
111 20368187
